id,titulo,descripcion,año,puntuacion,genero,tipo
32,"Love Actually","Diez historias de amor entrelazadas en Londres durante las fiestas de Navidad.",2003,7.8,"Romance","pelicula"
33,"Life as We Know It","Dos personas que se odian deben criar juntos a una bebé tras la muerte de sus amigos en común.",2010,7.2,"Romance","pelicula"
34,"One Day","Dos amigos se reencuentran el mismo día cada año durante décadas mientras sus vidas cambian.",2011,7.3,"Romance","pelicula"
35,"The Sound of Music","Una joven institutriz transforma la vida de una familia austriaca con música y alegría.",1965,8.1,"Musical","pelicula"
36,"Dead Poets Society","Un profesor inspira a sus alumnos a seguir sus pasiones a través de la poesía.",1989,8.4,"Drama","pelicula"
37,"My Best Friend's Wedding","Una mujer se da cuenta de que está enamorada de su mejor amigo justo cuando él se va a casar.",1997,7.3,"Romance","pelicula"
38,"Singin' in the Rain","Actores de Hollywood intentan adaptarse a la llegada del cine sonoro en los años 20.",1952,8.3,"Musical","pelicula"
39,"Se7en","Dos detectives investigan asesinatos inspirados en los siete pecados capitales.",1995,8.6,"Thriller","pelicula"
40,"Blade Runner 2049","Un blade runner descubre un secreto que amenaza a la sociedad.",2017,8,"Ciencia ficción","pelicula"
41,"La La Land","Una actriz y un músico luchan por cumplir sus sueños en Los Ángeles.",2016,8,"Musical","pelicula"
42,"Gone Girl","La desaparición de una mujer desencadena una investigación llena de secretos.",2014,8.1,"Thriller","pelicula"
43,"Coco","Un niño viaja al mundo de los muertos para descubrir la historia de su familia.",2017,8.4,"Animación","pelicula"
44,"Soul","Un músico descubre el verdadero significado de la vida.",2020,8.1,"Animación","pelicula"
45,"The Truman Show","Un hombre descubre que toda su vida es un programa de televisión.",1998,8.2,"Drama","pelicula"
46,"Arrival","Una lingüista intenta comunicarse con visitantes extraterrestres.",2016,7.9,"Ciencia ficción","pelicula"
47,"The Wolf of Wall Street","La historia del ascenso y caída de un corredor de bolsa ambicioso.",2013,8.2,"Comedia","pelicula"
48,"The Green Mile","Un guardia de prisión conoce a un recluso con habilidades sobrenaturales.",1999,8.6,"Drama","pelicula"
49,"Nightcrawler","Un camarógrafo freelance se adentra en el peligroso mundo del periodismo criminal nocturno.",2014,7.8,"Thriller","pelicula"
50,"Memento","Un hombre con pérdida de memoria reciente intenta encontrar al asesino de su esposa.",2000,8.4,"Thriller","pelicula"
51,"Drive","Un conductor especialista en escapes se ve envuelto en una peligrosa conspiración.",2011,7.8,"Drama","pelicula"
52,"Prisoners","Un padre desesperado busca a su hija desaparecida mientras la policía sigue pocas pistas.",2013,8.1,"Thriller","pelicula"
53,"Her","Un hombre se enamora de un sistema operativo con inteligencia artificial.",2013,8,"Romance","pelicula"
54,"The Revenant","Un cazador lucha por sobrevivir tras ser abandonado por su grupo en la nieve.",2015,8,"Aventura","pelicula"
55,"1917","Dos soldados británicos atraviesan territorio enemigo para entregar un mensaje crucial.",2019,8.2,"Drama","pelicula"
56,"Ford v Ferrari","Un diseñador y un piloto intentan construir el auto más rápido para vencer a Ferrari.",2019,8.1,"Drama","pelicula"
57,"Everything Everywhere All at Once","Una mujer común queda atrapada en una aventura multiversal caótica.",2022,8,"Ciencia ficción","pelicula"
58,"Baby Driver","Un joven conductor de escapes intenta abandonar el crimen.",2017,7.8,"Acción","pelicula"
59,"Knives Out","Un detective investiga la misteriosa muerte de un famoso escritor.",2019,7.9,"Misterio","pelicula"
60,"A Beautiful Mind","La vida del brillante matemático John Nash y su lucha contra la esquizofrenia.",2001,8.2,"Drama","pelicula"
61,"Ex Machina","Un programador participa en un experimento con una avanzada inteligencia artificial.",2014,7.7,"Ciencia ficción","pelicula"
62,"No Country for Old Men","Un cazador encuentra dinero de un negocio de drogas y desata una persecución mortal.",2007,8.1,"Thriller","pelicula"
63,"The Grand Budapest Hotel","Un legendario conserje y su joven asistente viven una aventura absurda y elegante.",2014,8.1,"Comedia","pelicula"
64,"The Imitation Game","Alan Turing intenta descifrar el código Enigma durante la Segunda Guerra Mundial.",2014,8,"Drama","pelicula"
65,"The Martian","Un astronauta queda atrapado en Marte e intenta sobrevivir solo.",2015,8,"Ciencia ficción","pelicula"
66,"Ready Player One","Un adolescente participa en una competencia virtual dentro del OASIS.",2018,7.8,"Ciencia ficción","pelicula"
67,"Edge of Tomorrow","Un soldado revive el mismo día una y otra vez durante una guerra alienígena.",2014,7.9,"Ciencia ficción","pelicula"
68,"The Curious Case of Benjamin Button","Un hombre nace anciano y rejuvenece con el paso del tiempo.",2008,7.8,"Drama","pelicula"
69,"Zodiac","Periodistas y detectives intentan descubrir la identidad del asesino Zodiac.",2007,7.7,"Thriller","pelicula"
70,"Breaking Bad","Un profesor de química terminal se convierte en fabricante de metanfetamina.",2008,9.5,"Drama","serie"
71,"Game of Thrones","Familias nobles compiten por el control del Trono de Hierro en los Siete Reinos.",2011,9.3,"Fantasía","serie"
72,"Stranger Things","Un grupo de niños enfrenta fuerzas sobrenaturales en su pequeño pueblo.",2016,8.7,"Terror","serie"
73,"La Casa de Papel","Un grupo de ladrones ejecuta atracos en la Casa de la Moneda de España.",2017,8.3,"Crimen","serie"
74,"The Office","El día a día de los empleados de una oficina de papel filmado en formato documental.",2005,9,"Comedia","serie"
75,"Friends","Seis amigos navegan la vida y el amor en Nueva York.",1994,8.9,"Comedia","serie"
76,"The Mandalorian","Un cazarrecompensas del Mundo Exterior debe proteger a un misterioso niño.",2019,8.5,"Ciencia ficción","serie"
77,"Black Mirror","Antología que explora los efectos oscuros de la tecnología en la sociedad.",2011,8.3,"Ciencia ficción","serie"
78,"Squid Game","Personas endeudadas compiten en juegos mortales por un enorme premio en efectivo.",2021,8,"Thriller","serie"
79,"The Crown","La historia del reinado de la Reina Isabel II y la familia real británica.",2016,8.2,"Drama","serie"
80,"Attack on Titan","La humanidad vive encerrada en ciudades rodeadas de muros para protegerse de los titanes.",2013,9,"Anime","serie"
81,"Death Note","Un estudiante encuentra un cuaderno que mata a cualquier persona cuyo nombre escriba.",2006,9,"Anime","serie"
82,"Fullmetal Alchemist: Brotherhood","Dos hermanos alquimistas buscan la Piedra Filosofal para recuperar sus cuerpos perdidos.",2009,9.1,"Anime","serie"
83,"Demon Slayer","Un joven se convierte en cazador de demonios para salvar a su hermana convertida en demonio.",2019,8.7,"Anime","serie"
84,"Hunter x Hunter","Un niño busca convertirse en Hunter para encontrar a su padre, uno de los mejores del mundo.",2011,9,"Anime","serie"
85,"Suits","Un brillante universitario sin título trabaja como abogado en uno de los mejores estudios de Nueva York.",2011,8.5,"Drama","serie"
86,"Mr. Robot","Un hacker antisocial es reclutado por un misterioso grupo para derribar las corporaciones que controlan el mundo.",2015,8.7,"Thriller","serie"
87,"Peaky Blinders","La familia Shelby dirige una banda criminal en Birmingham tras la Primera Guerra Mundial.",2013,8.8,"Crimen","serie"
88,"Dark","Cuatro familias de un pueblo alemán quedan atrapadas en un misterioso bucle temporal.",2017,8.8,"Ciencia ficción","serie"
89,"The Last of Us","Un sobreviviente curtido escolta a una adolescente inmune a través de un mundo post-apocalíptico.",2023,8.8,"Drama","serie"
90,"Narcos","La historia del auge y caída del narcotraficante colombiano Pablo Escobar.",2015,8.8,"Crimen","serie"
91,"Vikings","La historia de Ragnar Lothbrok, un legendario guerrero vikingo que se convierte en rey.",2013,8.5,"Acción","serie"
92,"House of the Dragon","La precuela de Game of Thrones narra la guerra civil de la Casa Targaryen.",2022,8.4,"Fantasía","serie"
93,"Sherlock","Una versión moderna de Sherlock Holmes resuelve crímenes en el Londres contemporáneo.",2010,9.1,"Misterio","serie"
94,"Vinland Saga","Un joven vikingo busca venganza contra el hombre que mató a su padre.",2019,8.9,"Anime","serie"
95,"Lost","Los sobrevivientes de un accidente aéreo quedan varados en una isla misteriosa llena de secretos.",2004,8.3,"Misterio","serie"
96,"Criminal Minds","Un equipo de perfiladores del FBI analiza la mente de criminales para atraparlos.",2005,8.3,"Crimen","serie"
97,"9-1-1","Las vidas de policías, bomberos y paramédicos de Los Ángeles en situaciones de emergencia extremas.",2018,7.9,"Drama","serie"
98,"Sex and the City","Cuatro amigas navegan el amor, el sexo y la amistad en Nueva York.",1998,7.8,"Comedia","serie"
99,"The Big Bang Theory","Cuatro científicos nerds y su vecina atractiva navegan la vida social y el amor.",2007,8.2,"Comedia","serie"
100,"Teen Titans","Un grupo de jóvenes superhéroes se unen para enfrentar amenazas oscuras.",2018,7.9,"Acción","serie"
101,"The 100","Cien jóvenes son enviados a la Tierra post-apocalíptica para ver si es habitable.",2014,7.8,"Ciencia ficción","serie"
102,"Cobra Kai","Décadas después de su rivalidad, Daniel LaRusso y Johnny Lawrence retoman su conflicto.",2018,8.5,"Acción","serie"
103,"Bridgerton","Las familias de la alta sociedad londinense buscan matrimonios ventajosos en la era de la Regencia.",2020,7.8,"Romance","serie"
104,"One Piece","Monkey D. Luffy y su tripulación de piratas navegan en busca del legendario tesoro One Piece.",2023,8.4,"Anime","serie"
105,"The Boys","Un grupo busca detener a superhéroes corruptos.",2019,8.7,"Acción","serie"
106,"Arcane","Dos hermanas quedan enfrentadas en una ciudad dividida.",2021,9,"Animación","serie"
107,"Wednesday","Merlina Addams investiga misterios en su nueva academia.",2022,8.1,"Misterio","serie"
108,"Loki","El dios del engaño altera líneas temporales.",2021,8.2,"Ciencia ficción","serie"
109,"Euphoria","Un grupo de adolescentes enfrenta problemas modernos.",2019,8.3,"Drama","serie"
110,"Prison Break","Un hombre planea escapar de prisión para salvar a su hermano.",2005,8.3,"Drama","serie"
111,"How I Met Your Mother","Ted Mosby cuenta a sus hijos cómo conoció a su madre.",2005,8.3,"Comedia","serie"
112,"The Witcher","Un cazador de monstruos lucha por encontrar su lugar en un mundo caótico.",2019,8,"Fantasía","serie"
113,"The Walking Dead","Un grupo de sobrevivientes intenta mantenerse con vida durante un apocalipsis zombie.",2010,8.1,"Terror","serie"
114,"Lucifer","El Diablo abandona el infierno y ayuda a resolver crímenes en Los Ángeles.",2016,8.1,"Fantasia","serie"
115,"Fargo","Historias criminales conectadas por situaciones absurdas y violentas.",2014,8.8,"Crimen","serie"
116,"True Detective","Detectives investigan crímenes complejos en distintas temporadas independientes.",2014,8.9,"Thriller","serie"
117,"Better Call Saul","La transformación de Jimmy McGill en el abogado Saul Goodman.",2015,8.9,"Drama","serie"
118,"Ozark","Una familia se muda a los Ozarks tras involucrarse con un cartel de drogas.",2017,8.5,"Crimen","serie"
119,"Invincible","Un adolescente descubre que heredó los poderes de su padre superhéroe.",2021,8.7,"Animación","serie"
120,"Mindhunter","Agentes del FBI estudian asesinos seriales para comprender su mente.",2017,8.6,"Thriller","serie"
121,"The Umbrella Academy","Un grupo de hermanos con poderes intenta evitar el fin del mundo.",2019,7.9,"Acción","serie"
122,"Reacher","Un exmilitar resuelve conspiraciones y crímenes mientras viaja por Estados Unidos.",2022,8.1,"Acción","serie"
123,"Moon Knight","Un hombre con múltiples personalidades obtiene poderes de un dios egipcio.",2022,7.8,"Acción","serie"
124,"Alice in Borderland","Un grupo de jóvenes queda atrapado en juegos mortales en una Tokio vacía.",2020,8.2,"Thriller","serie"
125,"Silo","Los últimos sobrevivientes de la humanidad viven en un enorme silo subterráneo.",2023,8.1,"Ciencia ficción","serie"
126,"1899","Pasajeros de un barco migrante encuentran un misterioso navío perdido en el océano.",2022,7.4,"Misterio","serie"
127,"The Sandman","El rey de los sueños escapa tras años de cautiverio y busca restaurar su reino.",2022,7.8,"Fantasía","serie"
128,"Severance","Empleados separan quirúrgicamente sus recuerdos laborales de su vida personal.",2022,8.7,"Thriller","serie"
129,"Fallout","Sobrevivientes emergen de refugios nucleares en un mundo devastado por la guerra.",2024,8.3,"Ciencia ficción","serie"
130,"Dexter","Un analista forense lleva una doble vida como asesino serial que elimina criminales.",2006,8.6,"Thriller","serie"
131,"Deadpool & Wolverine","Deadpool es reclutado por la Autoridad de Variación Temporal y convence a un Wolverine reticente para que le ayude.",2024,7.8,"Acción","pelicula"
